instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,count,cnt,type
1,2011-01-01T00:00:00Z,winter,0,1,0,Sat,0,2,0.344167,0.363625,0.805833,0.160446,331,985,casual
2,2011-01-02T00:00:00Z,winter,0,1,0,Sun,0,2,0.363478,0.353739,0.696087,0.248539,131,801,casual
3,2011-01-03T00:00:00Z,winter,0,1,0,Mon,1,1,0.196364,0.189405,0.437273,0.248309,120,1349,casual
4,2011-01-04T00:00:00Z,winter,0,1,0,Tues,1,1,0.2,0.212122,0.590435,0.160296,108,1562,casual
5,2011-01-05T00:00:00Z,winter,0,1,0,Wed,1,1,0.226957,0.22927,0.436957,0.1869,82,1600,casual
6,2011-01-06T00:00:00Z,winter,0,1,0,Thu,1,1,0.204348,0.233209,0.518261,0.0895652,88,1606,casual
7,2011-01-07T00:00:00Z,winter,0,1,0,Fri,1,2,0.196522,0.208839,0.498696,0.168726,148,1510,casual
8,2011-01-08T00:00:00Z,winter,0,1,0,Sat,0,2,0.165,0.162254,0.535833,0.266804,68,959,casual
9,2011-01-09T00:00:00Z,winter,0,1,0,Sun,0,1,0.138333,0.116175,0.434167,0.36195,54,822,casual
10,2011-01-10T00:00:00Z,winter,0,1,0,Mon,1,1,0.150833,0.150888,0.482917,0.223267,41,1321,casual
11,2011-01-11T00:00:00Z,winter,0,1,0,Tues,1,2,0.169091,0.191464,0.686364,0.122132,43,1263,casual
12,2011-01-12T00:00:00Z,winter,0,1,0,Wed,1,1,0.172727,0.160473,0.599545,0.304627,25,1162,casual
13,2011-01-13T00:00:00Z,winter,0,1,0,Thu,1,1,0.165,0.150883,0.470417,0.301,38,1406,casual
14,2011-01-14T00:00:00Z,winter,0,1,0,Fri,1,1,0.16087,0.188413,0.537826,0.126548,54,1421,casual
15,2011-01-15T00:00:00Z,winter,0,1,0,Sat,0,2,0.233333,0.248112,0.49875,0.157963,222,1248,casual
16,2011-01-16T00:00:00Z,winter,0,1,0,Sun,0,1,0.231667,0.234217,0.48375,0.188433,251,1204,casual
17,2011-01-17T00:00:00Z,winter,0,1,1,Mon,0,2,0.175833,0.176771,0.5375,0.194017,117,1000,casual
18,2011-01-18T00:00:00Z,winter,0,1,0,Tues,1,2,0.216667,0.232333,0.861667,0.146775,9,683,casual
19,2011-01-19T00:00:00Z,winter,0,1,0,Wed,1,2,0.292174,0.298422,0.741739,0.208317,78,1650,casual
20,2011-01-20T00:00:00Z,winter,0,1,0,Thu,1,2,0.261667,0.25505,0.538333,0.195904,83,1927,casual
21,2011-01-21T00:00:00Z,winter,0,1,0,Fri,1,1,0.1775,0.157833,0.457083,0.353242,75,1543,casual
22,2011-01-22T00:00:00Z,winter,0,1,0,Sat,0,1,0.0591304,0.0790696,0.4,0.17197,93,981,casual
23,2011-01-23T00:00:00Z,winter,0,1,0,Sun,0,1,0.0965217,0.0988391,0.436522,0.2466,150,986,casual
24,2011-01-24T00:00:00Z,winter,0,1,0,Mon,1,1,0.0973913,0.11793,0.491739,0.15833,86,1416,casual
25,2011-01-25T00:00:00Z,winter,0,1,0,Tues,1,2,0.223478,0.234526,0.616957,0.129796,186,1985,casual
26,2011-01-26T00:00:00Z,winter,0,1,0,Wed,1,3,0.2175,0.2036,0.8625,0.29385,34,506,casual
27,2011-01-27T00:00:00Z,winter,0,1,0,Thu,1,1,0.195,0.2197,0.6875,0.113837,15,431,casual
28,2011-01-28T00:00:00Z,winter,0,1,0,Fri,1,2,0.203478,0.223317,0.793043,0.1233,38,1167,casual
29,2011-01-29T00:00:00Z,winter,0,1,0,Sat,0,1,0.196522,0.212126,0.651739,0.145365,123,1098,casual
30,2011-01-30T00:00:00Z,winter,0,1,0,Sun,0,1,0.216522,0.250322,0.722174,0.0739826,140,1096,casual
31,2011-01-31T00:00:00Z,winter,0,1,0,Mon,1,2,0.180833,0.18625,0.60375,0.187192,42,1501,casual
32,2011-02-01T00:00:00Z,winter,0,2,0,Tues,1,2,0.192174,0.23453,0.829565,0.053213,47,1360,casual
33,2011-02-02T00:00:00Z,winter,0,2,0,Wed,1,2,0.26,0.254417,0.775417,0.264308,72,1526,casual
34,2011-02-03T00:00:00Z,winter,0,2,0,Thu,1,1,0.186957,0.177878,0.437826,0.277752,61,1550,casual
35,2011-02-04T00:00:00Z,winter,0,2,0,Fri,1,2,0.211304,0.228587,0.585217,0.127839,88,1708,casual
36,2011-02-05T00:00:00Z,winter,0,2,0,Sat,0,2,0.233333,0.243058,0.929167,0.161079,100,1005,casual
37,2011-02-06T00:00:00Z,winter,0,2,0,Sun,0,1,0.285833,0.291671,0.568333,0.1418,354,1623,casual
38,2011-02-07T00:00:00Z,winter,0,2,0,Mon,1,1,0.271667,0.303658,0.738333,0.0454083,120,1712,casual
39,2011-02-08T00:00:00Z,winter,0,2,0,Tues,1,1,0.220833,0.198246,0.537917,0.36195,64,1530,casual
